"MSSV","HoTen","NgaySinh","GioiTinh","CCCD","Lop","DiaChi","Email","SoDienThoai","TrangThai"
"SV0038","Sinh vien 38","2005-10-08","Nu","001000000038","SH241C","Da Nang - To dan pho 0038","sv0038@sms.local","0912000038","Dang hoc"
"SV0039","Sinh vien 39","2005-10-25","Nam","001000000039","SH241C","Da Nang - To dan pho 0039","sv0039@sms.local","0912000039","Dang hoc"
"SV0040","Sinh vien 40","2005-11-11","Nu","001000000040","SH241C","Da Nang - To dan pho 0040","sv0040@sms.local","0912000040","Dang hoc"
"SV0041","Sinh vien 41","2005-11-28","Nam","001000000041","SH241C","Da Nang - To dan pho 0041","sv0041@sms.local","0912000041","Dang hoc"
"SV0042","Sinh vien 42","2005-12-15","Nu","001000000042","SH241C","Da Nang - To dan pho 0042","sv0042@sms.local","0912000042","Dang hoc"
"SV0043","Sinh vien 43","2006-01-01","Nam","001000000043","SH241C","Da Nang - To dan pho 0043","sv0043@sms.local","0912000043","Dang hoc"
"SV0044","Sinh vien 44","2006-01-18","Nu","001000000044","SH241C","Da Nang - To dan pho 0044","sv0044@sms.local","0912000044","Dang hoc"
"SV0045","Sinh vien 45","2006-02-04","Nam","001000000045","SH241C","Da Nang - To dan pho 0045","sv0045@sms.local","0912000045","Dang hoc"
"SV0046","Sinh vien 46","2006-02-21","Nu","001000000046","SH241C","Da Nang - To dan pho 0046","sv0046@sms.local","0912000046","Dang hoc"
"SV0047","Sinh vien 47","2006-03-10","Nam","001000000047","SH241C","Da Nang - To dan pho 0047","sv0047@sms.local","0912000047","Dang hoc"
"SV0048","Sinh vien 48","2006-03-27","Nu","001000000048","SH241C","Da Nang - To dan pho 0048","sv0048@sms.local","0912000048","Dang hoc"
"SV0049","Sinh vien 49","2006-04-13","Nam","001000000049","SH241C","Da Nang - To dan pho 0049","sv0049@sms.local","0912000049","Dang hoc"
"SV0050","Sinh vien 50","2006-04-30","Nu","001000000050","SH241C","Da Nang - To dan pho 0050","sv0050@sms.local","0912000050","Dang hoc"
