"MSSV","Họ tên","CCCD","Ngày sinh","Giới tính","Địa chỉ","SĐT","Email","Lớp","Ngày nhập học","Trạng thái"
"22000046","Nguyễn Thành Nam","","30-07-2004","Nam","","0927461385","nguyenthanhnam_t67@hus.edu.vn","K67A1","","Đang học"
"22000059","Phạm Anh Thư","","06-08-2004","Nữ","","0918756234","phamanhthu_t67@hus.edu.vn","K67A1","","Đang học"
"22000060","Đỗ Thị Thương","","23-08-2004","Nữ","","0893456712","dothithuong_t67@hus.edu.vn","K67A1","","Đang học"
"22000071","Đậu Đức Bách","","10-09-2004","Nam","","0887612345","dauducbach_t67@hus.edu.vn","K67A2","","Đang học"
"22000093","Nguyễn Minh Hiển","","28-09-2004","Nam","","0872345619","nguyenminhhien_t67@hus.edu.vn","K67A2","","Đang học"
"22000099","Dương Đạt Khang","","12-10-2004","Nam","","0869123457","duongdatkhang_t67@hus.edu.vn","K67A2","","Đang học"
"22000104","Lê Ngọc Lực","","31-10-2004","Nam","","0856789123","lengocluc_t67@hus.edu.vn","K67A2","","Đang học"
"22000120","Vũ Minh Quang","","07-11-2004","Nam","","0843215678","vuminhquang_t67@hus.edu.vn","K67A2","","Đang học"
"22000127","Ngô Thanh Tình","","19-11-2004","Nam","","0834567891","ngothanhtinh_t67@hus.edu.vn","K67A2","","Đang học"
"22000131","Lâm Vũ","","24-12-2004","Nam","","0823456789","lamvu_t67@hus.edu.vn","K67A2","","Đang học"
"23010001","Nguyễn Minh Quân","079301000001","12-01-2005","Nam","Hà Nội","0911000001","23010001@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010002","Trần Thu Hà","079301000002","25-02-2005","Nữ","Nam Định","0911000002","23010002@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010003","Phạm Đức Anh","079301000003","03-03-2005","Nam","Thái Bình","0911000003","23010003@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010004","Lê Khánh Linh","079301000004","17-04-2005","Nữ","Ninh Bình","0911000004","23010004@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010005","Vũ Hoàng Nam","079301000005","29-05-2005","Nam","Hải Phòng","0911000005","23010005@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010006","Đỗ Mai Anh","079301000006","11-06-2005","Nữ","Hà Nam","0911000006","23010006@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010007","Bùi Gia Huy","079301000007","22-07-2005","Nam","Thanh Hóa","0911000007","23010007@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010008","Ngô Phương Thảo","079301000008","08-08-2005","Nữ","Nghệ An","0911000008","23010008@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010009","Hoàng Nhật Minh","079301000009","19-09-2005","Nam","Hà Tĩnh","0911000009","23010009@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"23010010","Phan Thị Ngọc","079301000010","30-10-2005","Nữ","Quảng Bình","0911000010","23010010@hus.edu.vn","K68KHVL","05-09-2023","Đang học"
"24020001","Nguyễn Hải Đăng","079302000001","14-01-2006","Nam","Hà Nội","0922000001","24020001@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020002","Trịnh Thu Trang","079302000002","27-02-2006","Nữ","Bắc Ninh","0922000002","24020002@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020003","Mai Quốc Bảo","079302000003","09-03-2006","Nam","Hưng Yên","0922000003","24020003@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020004","Đặng Ngọc Ánh","079302000004","21-04-2006","Nữ","Hải Dương","0922000004","24020004@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020005","Phạm Tuấn Kiệt","079302000005","02-05-2006","Nam","Hải Phòng","0922000005","24020005@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020006","Lý Thanh Huyền","079302000006","16-06-2006","Nữ","Nam Định","0922000006","24020006@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020007","Võ Đức Thành","079302000007","28-07-2006","Nam","Thái Bình","0922000007","24020007@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020008","Nguyễn Thảo Vy","079302000008","10-08-2006","Nữ","Ninh Bình","0922000008","24020008@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020009","Trần Minh Châu","079302000009","23-09-2006","Nữ","Hà Nam","0922000009","24020009@hus.edu.vn","K69HD","05-09-2023","Đang học"
"24020010","Bùi Trung Hiếu","079302000010","05-11-2006","Nam","Thanh Hóa","0922000010","24020010@hus.edu.vn","K69HD","05-09-2023","Đang học"
"22030001","Nguyễn Quang Vinh","079303000001","13-01-2004","Nam","Quảng Ninh","0933000001","nguyenquangvinh_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030002","Phạm Khánh Ly","079303000002","24-02-2004","Nữ","Hải Phòng","0933000002","phamkhanhly_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030003","Lê Trường Sơn","079303000003","07-03-2004","Nam","Thái Bình","0933000003","letruongson_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030004","Trần Hải Yến","079303000004","19-04-2004","Nữ","Nam Định","0933000004","tranhaiyen_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030005","Đỗ Văn Bình","079303000005","01-05-2004","Nam","Ninh Bình","0933000005","dovanbinh_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030006","Ngô Thu Phương","079303000006","15-06-2004","Nữ","Hà Nam","0933000006","ngothuphuong_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030007","Vũ Minh Tâm","079303000007","26-07-2004","Nam","Nghệ An","0933000007","vuminhtam_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030008","Hoàng Bảo Trân","079303000008","09-08-2004","Nữ","Hà Tĩnh","0933000008","hoangbaotran_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030009","Phan Quốc Đạt","079303000009","20-09-2004","Nam","Quảng Bình","0933000009","phanquocdat_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030010","Lưu Mai Chi","079303000010","31-10-2004","Nữ","Quảng Trị","0933000010","luumaichi_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
"22030011","Đặng Văn Dũng","079303000011","12-11-2004","Nam","Quảng Ngãi","0933000011","dangvandung_t67@hus.edu.vn","K67SVB","05-09-2023","Đang học"
